3C1 - REBAJA No. 8 MEDELLIN PLAZUELA URIBE URIBE - MEDELLIN;70791507;
ALIMENTOS Y BEBIDAS;4843920;
ASEO Y HOGAR;1791066;
CUIDADO PERSONAL;16259496;
OTC;19999197;
UNIDAD RX;31897828;
3C2 - REBAJA No. 9 MEDELLIN SAN DIEGO - MEDELLIN;63647165;
ALIMENTOS Y BEBIDAS;4861662;
ASEO Y HOGAR;1652492;
CUIDADO PERSONAL;9912319;
OTC;12298016;
UNIDAD RX;38922676;
3C9 - REBAJA No. 1 YARUMAL PARQUE PRINCIPAL - YARUMAL;83972259;
ALIMENTOS Y BEBIDAS;3020788;
ASEO Y HOGAR;1524434;
CUIDADO PERSONAL;17737809;
OTC;23068794;
UNIDAD RX;42620434;
3E6 - REBAJA No. 13 MEDELLIN PARQUE BERRIO - MEDELLIN;138810161;
ALIMENTOS Y BEBIDAS;6570859;
ASEO Y HOGAR;2320270;
CUIDADO PERSONAL;32421342;
OTC;35739682;
UNIDAD RX;65758008;
3G9 - REBAJA No. 34 MEDELLIN MANRIQUE CENTRAL - MEDELLIN;62128411;
ALIMENTOS Y BEBIDAS;4819510;
ASEO Y HOGAR;1639211;
CUIDADO PERSONAL;12637542;
OTC;13609450;
UNIDAD RX;33422698;
3H3 - REBAJA No. 37 MEDELLIN EL SALVADOR - MEDELLIN;61490215;
ALIMENTOS Y BEBIDAS;4267601;
ASEO Y HOGAR;1653876;
CUIDADO PERSONAL;11386032;
OTC;15888104;
UNIDAD RX;32294602;
3I8 - REBAJA No. 1 APARTADO FUNDADORES - APARTADO;30920966;
ALIMENTOS Y BEBIDAS;2535304;
ASEO Y HOGAR;1461511;
CUIDADO PERSONAL;5420857;
OTC;7442452;
UNIDAD RX;18060842;
3J3 - REBAJA No. 2 APARTADO BARRIO ORTIZ - APARTADO;38159444;#ÁREF!
ALIMENTOS Y BEBIDAS;1704365;
ASEO Y HOGAR;1517607;
CUIDADO PERSONAL;6900192;
OTC;10070664;#ÁREF!
UNIDAD RX;21966616;
3J7 - REBAJA No. 1 CHIGORODO CENTRO - CHIGORODO;46924514;
ALIMENTOS Y BEBIDAS;2417452;
ASEO Y HOGAR;1661334;
CUIDADO PERSONAL;9046411;
OTC;12869349;
UNIDAD RX;24929968;
3J9 - REBAJA No. 2 TURBO CENTRO - TURBO;166485842;
ALIMENTOS Y BEBIDAS;6638538;
ASEO Y HOGAR;3134894;
CUIDADO PERSONAL;29176385;
OTC;39253492;
UNIDAD RX;92282533;
3K1 - REBAJA No. 1 TURBO CENTRO - TURBO;91059604;
ALIMENTOS Y BEBIDAS;5539962;
ASEO Y HOGAR;2152770;
CUIDADO PERSONAL;17252162;
OTC;20942700;
UNIDAD RX;49172010;
3K6 - REBAJA No. 43 MEDELLIN PARQUE DE BOLIVAR - MEDELLIN;38658907;
ALIMENTOS Y BEBIDAS;2760625;
ASEO Y HOGAR;1602223;
CUIDADO PERSONAL;8801054;
OTC;10510657;
UNIDAD RX;18984348;
3K9 - REBAJA No. 3 TURBO CENTRO - TURBO;127180198;
ALIMENTOS Y BEBIDAS;8314831;
ASEO Y HOGAR;2907092;
CUIDADO PERSONAL;20193229;
OTC;27494290;
UNIDAD RX;72270756;
3L6 - REBAJA No. 44 MEDELLIN - MEDELLIN;47195220;
ALIMENTOS Y BEBIDAS;2456014;
ASEO Y HOGAR;1649812;
CUIDADO PERSONAL;11471133;
OTC;12653157;
UNIDAD RX;22965104;
