3C9 - REBAJA No. 1 YARUMAL PARQUE PRINCIPAL - YARUMAL;92972259;60000
ALIMENTOS Y BEBIDAS;12020788;60750
ASEO Y HOGAR;10524434;61500
CUIDADO PERSONAL;26737809;62250
OTC;32068794;63000
UNIDAD RX;51620434;63750
3E6 - REBAJA No. 13 MEDELLIN PARQUE BERRIO - MEDELLIN;147810161;64500
ALIMENTOS Y BEBIDAS;15570859;65250
ASEO Y HOGAR;11320270;66000
CUIDADO PERSONAL;41421342;66750
OTC;44739682;67500
UNIDAD RX;74758008;68250
3G9 - REBAJA No. 34 MEDELLIN MANRIQUE CENTRAL - MEDELLIN;71128411;69000
ALIMENTOS Y BEBIDAS;13819510;69750
ASEO Y HOGAR;10639211;70500
CUIDADO PERSONAL;21637542;71250
OTC;22609450;72000
UNIDAD RX;42422698;72750
3H3 - REBAJA No. 37 MEDELLIN EL SALVADOR - MEDELLIN;70490215;73500
ALIMENTOS Y BEBIDAS;13267601;74250
ASEO Y HOGAR;10653876;75000
CUIDADO PERSONAL;20386032;75750
OTC;24888104;76500
UNIDAD RX;41294602;77250
3I8 - REBAJA No. 1 APARTADO FUNDADORES - APARTADO;39920966;78000
ALIMENTOS Y BEBIDAS;11535304;78750
ASEO Y HOGAR;10461511;79500
CUIDADO PERSONAL;14420857;80250
OTC;16442452;81000
UNIDAD RX;27060842;81750
3J3 - REBAJA No. 2 APARTADO BARRIO ORTIZ - APARTADO;47159444;82500
ALIMENTOS Y BEBIDAS;10704365;83250
ASEO Y HOGAR;10517607;84000
CUIDADO PERSONAL;15900192;84750
OTC;19070664;85500
UNIDAD RX;30966616;86250
3J7 - REBAJA No. 1 CHIGORODO CENTRO - CHIGORODO;55924514;87000
ALIMENTOS Y BEBIDAS;11417452;87750
ASEO Y HOGAR;10661334;88500
CUIDADO PERSONAL;18046411;89250
OTC;21869349;90000
UNIDAD RX;33929968;90750
3J9 - REBAJA No. 2 TURBO CENTRO - TURBO;175485842;91500
ALIMENTOS Y BEBIDAS;15638538;92250
ASEO Y HOGAR;12134894;93000
CUIDADO PERSONAL;38176385;93750
OTC;48253492;94500
UNIDAD RX;101282533;95250
3K1 - REBAJA No. 1 TURBO CENTRO - TURBO;100059604;96000
ALIMENTOS Y BEBIDAS;14539962;96750
ASEO Y HOGAR;11152770;97500
CUIDADO PERSONAL;26252162;98250
OTC;29942700;99000
UNIDAD RX;58172010;99750
3K6 - REBAJA No. 43 MEDELLIN PARQUE DE BOLIVAR - MEDELLIN;47658907;100500
ALIMENTOS Y BEBIDAS;11760625;101250
ASEO Y HOGAR;10602223;102000
CUIDADO PERSONAL;17801054;102750
OTC;19510657;103500
UNIDAD RX;27984348;104250
3K9 - REBAJA No. 3 TURBO CENTRO - TURBO;136180198;105000
ALIMENTOS Y BEBIDAS;17314831;105750
ASEO Y HOGAR;11907092;106500
CUIDADO PERSONAL;29193229;107250
OTC;36494290;108000
UNIDAD RX;81270756;108750
3L6 - REBAJA No. 44 MEDELLIN - MEDELLIN;56195220;109500
ALIMENTOS Y BEBIDAS;11456014;110250
ASEO Y HOGAR;10649812;111000
CUIDADO PERSONAL;20471133;111750
OTC;21653157;112500
UNIDAD RX;31965104;113250
